Frequency,Avg_RCS
50000000.0,1.5707916666666668
53990100.0,1.5707920000000002
58298500.0,1.5630746666666666
62950800.0,1.5026883333333336
67974300.0,0.8559827333333334
73398800.0,3.1692123333333333
79256000.0,3.502472
85580800.0,3.9183540000000003
92410200.0,3.155225666666667
99784600.0,3.6541186666666667
107748000.0,3.8276416666666666
116346000.0,3.2622223333333333
125630000.0,2.914192333333333
135656000.0,4.370352999999999
146481000.0,3.6826243333333326
158171000.0,2.602252
170793000.0,2.348840666666667
184422000.0,2.282207333333333
199139000.0,2.4851046666666665
215031000.0,2.8601663333333334
232191000.0,3.4740436666666668
250720000.0,4.033622333333333
270727000.0,3.862566
292332000.0,3.3740239999999995
315660000.0,2.821522
340850000.0,2.6583759999999996
368050000.0,3.158440666666667
397421000.0,3.646415333333333
429136000.0,3.386709
463381000.0,2.873464666666666
500359000.0,2.777651666666667
540289000.0,3.366954
583404000.0,3.3195293333333336
629961000.0,2.8771926666666663
680232000.0,3.2681433333333336
734515000.0,3.2534813333333337
793130000.0,2.9594396666666665
856423000.0,3.343214666666667
924766000.0,2.9540323333333327
998564000.0,3.2813576666666666
1078250000.0,3.0292096666666666
1164300000.0,3.2708053333333322
1257210000.0,3.058912999999999
1357530000.0,3.1020513333333337
1465870000.0,3.2414150000000004
1582840000.0,3.1798903333333333
1709160000.0,3.102276666666667
1845550000.0,3.0766820000000004
1992830000.0,3.0760356666666664
2151860000.0,3.087780333333334
2323580000.0,3.140250666666667
2509000000.0,3.2042173333333333
2709220000.0,3.124814
2925420000.0,3.1409053333333334
3158870000.0,3.1189546666666668
3410950000.0,3.1941783333333333
3683150000.0,3.163191333333333
3977070000.0,3.153651333333334
4294440000.0,3.174486
4637140000.0,3.1557049999999993
5007190000.0,3.124134333333333
5406770000.0,3.1336416666666667
5838240000.0,3.1568816666666666
6304130000.0,3.1377959999999994
6807210000.0,3.120293666666667
7350430000.0,3.1409343333333335
7937010000.0,3.163354666666667
8570390000.0,3.1300976666666673
9254310000.0,3.1546893333333323
9992820000.0,3.1450543333333334
10790300000.0,3.1530493333333336
11651300000.0,3.1363553333333334
12581100000.0,3.1360099999999997
13585100000.0,3.1560040000000003
14669200000.0,3.1589036666666668
15839800000.0,3.1635533333333328
17103900000.0,3.161188333333334
18468800000.0,3.1483836666666662
19942600000.0,3.1123783333333335
21534000000.0,3.1282623333333337
23252500000.0,3.1202776666666665
25108000000.0,3.1037630000000003
27111700000.0,3.1755883333333346
29275200000.0,3.21883
31611400000.0,3.209928666666667
34134000000.0,3.1188913333333335
36858000000.0,3.188720333333334
39799300000.0,3.1245933333333338
42975300000.0,3.160609333333334
46404800000.0,3.080927666666666
50107900000.0,3.1558833333333336
54106600000.0,3.1690023333333333
58424300000.0,2.886992999999999
63086700000.0,3.012912333333333
68121000000.0,3.1002483333333335
73557200000.0,2.9174560000000005
79427100000.0,2.4615679999999998
85765500000.0,3.5745519999999993
92609700000.0,3.5782839999999987
100000000000.0,2.635415666666667
