Frequency,Avg_RCS
50000000.0,0.9817479999999997
51634100.0,0.6747727
53321700.0,0.8666155777777778
55064400.0,0.6650214555555556
56864000.0,0.7885843
58722500.0,0.9817479999999997
60641700.0,0.7919728
62623600.0,0.9817479999999997
64670300.0,0.7979399666666668
66783900.0,1.362579222222222
68966600.0,0.7857557222222223
71220600.0,1.5707999999999998
73548200.0,0.9076773888888888
75952000.0,1.3620407777777777
78434300.0,1.9095445555555557
80997700.0,0.7923709555555558
83645000.0,1.5707999999999998
86378700.0,2.6412362222222225
89201800.0,0.7875528333333333
92117100.0,1.5707999999999998
95127700.0,2.6402048888888885
98236800.0,3.359402666666667
101447000.0,3.143378333333333
104763000.0,2.682120888888889
108187000.0,2.516424666666667
111723000.0,3.337931666666667
115374000.0,3.3455144444444445
119145000.0,3.926990000000001
123039000.0,3.791395333333333
127060000.0,3.7116694444444445
131213000.0,3.736460666666666
135501000.0,3.9087858888888887
139930000.0,4.246788666666666
144503000.0,4.77573
149226000.0,4.682937555555556
154103000.0,3.3944787777777776
159139000.0,3.158478555555555
164340000.0,3.853621111111112
169711000.0,3.804870888888889
175258000.0,3.3408589999999996
180986000.0,3.0920608888888887
186901000.0,3.5830270000000004
193009000.0,2.683345888888889
199317000.0,2.956860333333334
205832000.0,2.2865496666666667
212559000.0,2.3605817777777776
219506000.0,2.3215624444444445
226680000.0,1.9764003333333335
234088000.0,2.0291774444444446
241739000.0,2.0050961111111114
249639000.0,2.078120111111111
257798000.0,2.4744615555555556
266224000.0,3.2890385555555555
274925000.0,3.199442222222221
283910000.0,3.18548488888889
293189000.0,3.653491444444445
302771000.0,3.9622204444444447
312666000.0,3.1415900000000003
322885000.0,3.4427883333333327
333438000.0,3.0620934444444448
344335000.0,3.1003650000000005
355589000.0,2.618018
367211000.0,2.5627962222222225
379212000.0,2.504027
391606000.0,2.335662444444445
404404000.0,2.982443111111111
417621000.0,3.3106334444444445
431270000.0,3.695658
445365000.0,3.2306626666666665
459921000.0,3.6847343333333336
474953000.0,3.1418411111111118
490475000.0,3.183536111111112
506505000.0,2.7106079999999997
523059000.0,2.6182791111111112
540154000.0,2.666433666666667
557808000.0,3.143515888888889
576038000.0,3.3972882222222225
594865000.0,3.344885222222222
614306000.0,3.4348875555555556
634384000.0,3.0534061111111113
655117000.0,2.744930555555555
676528000.0,2.7360152222222225
698639000.0,2.8997732222222226
721472000.0,3.3288029999999997
745051000.0,3.2239211111111103
769402000.0,3.459135555555556
794548000.0,3.0599822222222226
820516000.0,3.007566111111111
847332000.0,3.075851333333334
